City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Lake Jackson,US,29.0339,-95.4344,91.62,81,1,0.0,clear sky,2021-08-03 23:03:58
1,Gonnoi,GR,39.8667,22.4667,76.39,22,7,2.77,clear sky,2021-08-03 23:03:58
2,Nuuk,GL,64.1835,-51.7216,50.61,87,75,18.41,broken clouds,2021-08-03 23:03:58
3,Nakamura,JP,32.9833,132.9333,80.8,83,42,5.08,scattered clouds,2021-08-03 23:03:59
4,Hilo,US,19.7297,-155.09,80.26,76,49,3.0,scattered clouds,2021-08-03 23:00:08
5,Vaini,TO,-21.2,-175.2,75.36,73,20,12.66,few clouds,2021-08-03 23:03:59
6,Zwedru,LR,6.0667,-8.1281,71.71,88,92,3.65,overcast clouds,2021-08-03 23:03:59
7,Mataura,NZ,-46.1927,168.8643,39.47,77,85,3.53,overcast clouds,2021-08-03 22:59:35
8,Chuy,UY,-33.6971,-53.4616,49.46,92,4,4.88,clear sky,2021-08-03 23:04:00
9,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,4,7.47,clear sky,2021-08-03 23:04:00
10,Qaanaaq,GL,77.484,-69.3632,41.68,98,100,5.7,overcast clouds,2021-08-03 23:04:00
11,Lavrentiya,RU,65.5833,-171.0,48.56,95,85,6.76,overcast clouds,2021-08-03 23:04:01
12,Ust-Tsilma,RU,65.441,52.1498,62.29,93,100,5.12,overcast clouds,2021-08-03 23:04:01
13,New Norfolk,AU,-42.7826,147.0587,49.91,86,56,1.99,broken clouds,2021-08-03 23:04:01
14,Port Elizabeth,ZA,-33.918,25.5701,60.87,69,0,13.0,clear sky,2021-08-03 23:04:02
15,Ushuaia,AR,-54.8,-68.3,33.58,92,83,5.59,broken clouds,2021-08-03 23:01:13
16,Punta Arenas,CL,-53.15,-70.9167,44.11,70,100,13.06,overcast clouds,2021-08-03 23:04:02
17,Makakilo City,US,21.3469,-158.0858,88.12,47,20,12.66,few clouds,2021-08-03 23:04:02
18,Moose Factory,CA,51.2585,-80.6094,56.53,60,97,6.2,overcast clouds,2021-08-03 23:04:03
19,Muzhi,RU,65.3667,64.6667,62.58,71,76,2.17,broken clouds,2021-08-03 23:04:03
20,Butaritari,KI,3.0707,172.7902,83.34,71,92,15.12,light rain,2021-08-03 23:04:03
21,Mar Del Plata,AR,-38.0023,-57.5575,55.42,41,0,1.01,clear sky,2021-08-03 22:59:43
22,Busselton,AU,-33.65,115.3333,43.09,78,75,2.98,broken clouds,2021-08-03 23:04:04
23,Saint-Pierre,RE,-21.3393,55.4781,67.68,83,90,9.22,overcast clouds,2021-08-03 23:04:04
24,Senges,BR,-24.1128,-49.4636,53.85,80,20,7.96,few clouds,2021-08-03 23:04:04
